title,link,author,rating
The Wrath and the Dawn,https://www.goodreads.com/book/show/18798983-the-wrath-and-the-dawn,Renée Ahdieh,4.07
Throne of Glass,https://www.goodreads.com/book/show/126062562-the-assassin-s-blade,Sarah J. Maas,4.29
The Scholomance,https://www.goodreads.com/book/show/50548197-a-deadly-education,Naomi Novik,4.0
The Scholomance,https://www.goodreads.com/book/show/50548197-a-deadly-education,Naomi Novik,4.0
American Gods,https://www.goodreads.com/book/show/2744.Anansi_Boys,Neil Gaiman,4.04
Sorcery of Thorns,https://www.goodreads.com/book/show/42201395-sorcery-of-thorns,Margaret Rogerson,4.07
The Wheel of Time,https://www.goodreads.com/book/show/13890.A_Crown_of_Swords,Robert Jordan,"avg rating 4.06 — 157,005 ratings — published 1996"
The Midnight Library (Hardcover),https://www.goodreads.com/book/show/52578297-the-midnight-library,Matt Haig,4.01
The Stormlight Archive,https://www.goodreads.com/book/show/34002132-oathbringer,Brandon Sanderson,4.62
Temeraire,https://www.goodreads.com/book/show/28876.His_Majesty_s_Dragon,Naomi Novik,4.06
The Witcher,https://www.goodreads.com/book/show/25454056-sword-of-destiny,Andrzej Sapkowski,"avg rating 4.28 — 165,288 ratings — published 1992"
Shades of Magic,https://www.goodreads.com/book/show/29939230-a-conjuring-of-light,V.E. Schwab,"avg rating 4.33 — 139,823 ratings — published 2017"
Hundred Kingdoms,https://www.goodreads.com/book/show/34499221-to-kill-a-kingdom,Alexandra Christo,3.76
The Mortal Instruments,https://www.goodreads.com/book/show/8755785-city-of-heavenly-fire,Cassandra Clare,4.4
Graceling Realm,https://www.goodreads.com/book/show/6137154-fire,Kristin Cashore,"avg rating 4.10 — 180,613 ratings — published 2009"
The Wheel of Time,https://www.goodreads.com/book/show/140974.The_Path_of_Daggers,Robert Jordan,"avg rating 3.92 — 135,558 ratings — published 1998"
Ella Enchanted,https://www.goodreads.com/book/show/24337.Ella_Enchanted,Gail Carson Levine,4.0
The Locked Tomb,https://www.goodreads.com/book/show/42036538-gideon-the-ninth,Tamsyn Muir,4.22
The Lunar Chronicles,https://www.goodreads.com/book/show/13206760-scarlet,Marissa Meyer,4.25
The First Law,https://www.goodreads.com/book/show/902715.Before_They_Are_Hanged,Joe Abercrombie,"avg rating 4.34 — 155,151 ratings — published 2007"
The Heroes of Olympus,https://www.goodreads.com/book/show/12127810-the-house-of-hades,Rick Riordan,
Night Angel,https://www.goodreads.com/book/show/3227063-the-way-of-shadows,Brent Weeks,4.15
Outlander,https://www.goodreads.com/book/show/10964.Outlander,Diana Gabaldon,4.25
The Atlas,https://www.goodreads.com/book/show/50520939-the-atlas-six,Olivie Blake,3.68
Divergent,https://www.goodreads.com/book/show/13335037-divergent,Veronica Roth,4.15
Gentleman Bastard,https://www.goodreads.com/book/show/40604556-red-seas-under-red-skies,Scott Lynch,4.24
Inheritance,https://www.goodreads.com/book/show/6437061-the-hundred-thousand-kingdoms,N.K. Jemisin,3.89
The Wheel of Time,https://www.goodreads.com/book/show/13891.Winter_s_Heart,Robert Jordan,"avg rating 3.96 — 129,186 ratings — published 2000"
